BoundaryLayerThickness,Voltage,Value
1.0e8,-0.0020000000000000018,1.612722790472041e-15
1.0e8,-0.0044000000000000705,1.4821736108955168e-15
1.0e8,-0.007280000000000064,-2.0517536663382043e-15
1.0e8,-0.010735999999999968,-5.120463184821885e-16
1.0e8,-0.014883199999999874,-2.1866515212938327e-15
1.0e8,-0.019859840000000184,-2.796368490288271e-15
1.0e8,-0.025831808000000178,-2.0295162803006493e-15
1.0e8,-0.03299816960000013,-4.034438565439912e-15
1.0e8,-0.041597803519999865,-2.8236332586732723e-15
1.0e8,-0.05191736422399984,-2.639409372356431e-15
1.0e8,-0.06430083706880008,-1.0257056603323227e-15
1.0e8,-0.07916100448255992,1.2785698721148389e-15
1.0e8,-0.09699320537907208,-4.010411215940245e-15
1.0e8,-0.1169932053790721,7.36353559669308e-15
1.0e8,-0.136993205379072,-1.9563122583434982e-15
1.0e8,-0.1569932053790719,1.191658987529093e-15
1.0e8,-0.17699320537907182,6.848390827274277e-15
1.0e8,-0.19699320537907217,-6.919101197373908e-15
1.0e8,-0.21699320537907196,5.479789309459191e-16
1.0e8,-0.23699320537907198,-1.2952673677927436e-15
1.0e8,-0.256993205379072,8.685709179130523e-16
1.0e8,-0.2769932053790718,-8.161783226867723e-15
1.0e8,-0.29699320537907203,-3.889202442347271e-14
1.0e8,-0.31699320537907205,-1.339057576311051e-13
1.0e8,-0.33699320537907207,-4.551173577092491e-13
1.0e8,-0.3569932053790723,-1.5631580912795713e-12
1.0e8,-0.3769932053790721,-5.337916018102644e-12
1.0e8,-0.3969932053790721,-1.8230253448463832e-11
1.0e8,-0.4169932053790717,-6.237296794866303e-11
1.0e8,-0.43699320537907194,-2.1356529590545139e-10
1.0e8,-0.4569932053790724,-7.320599744789895e-10
1.0e8,-0.47699320537907264,-2.5117223514548395e-9
1.0e8,-0.4969932053790722,-8.624475550962185e-9
1.0e8,-0.5169932053790725,-2.9631211424828018e-8
1.0e8,-0.536993205379072,-1.0183228843565457e-7
1.0e8,-0.5569932053790723,-3.4985818327500434e-7
1.0e8,-0.5769932053790725,-1.200290076080955e-6
1.0e8,-0.5969932053790721,-4.103007782537798e-6
1.0e8,-0.6169932053790725,-1.391234399307382e-5
1.0e8,-0.6369932053790721,-4.638260306804146e-5
1.0e8,-0.6569932053790724,-0.00014956097829647104
1.0e8,-0.6769932053790726,-0.00045384989879895414
1.0e8,-0.6969932053790728,-0.0012505690161993981
1.0e8,-0.7169932053790724,-0.0030411354985257835
1.0e8,-0.736993205379072,-0.006520380805067106
1.0e8,-0.7569932053790722,-0.012655275994733373
1.0e8,-0.7769932053790727,-0.023009332999427076
1.0e8,-0.7969932053790729,-0.040265574987711286
1.0e8,-0.8169932053790725,-0.06896908957725095
1.0e8,-0.8369932053790721,-0.11668102108876735
1.0e8,-0.8569932053790723,-0.19587191470672172
1.0e8,-0.8769932053790725,-0.3270347782951174
1.0e8,-0.8969932053790721,-0.5433323809778882
1.0e8,-0.9169932053790717,-0.8962060947210908
1.0e8,-0.9369932053790719,-1.459647339825132
1.0e8,-0.9569932053790724,-2.3270446051495615
1.0e8,-0.976993205379072,-3.588957404101251
1.0e8,-0.9969932053790715,-5.279604683876169
1.0e8,-1.0169932053790718,-7.296978537253361
1.0e8,-1.036993205379072,-9.340637284971704
1.0e8,-1.0569932053790716,-10.95092450075127
1.0e8,-1.0769932053790712,-11.71936268988684
1.0e8,-1.0969932053790714,-11.584515208969545
1.0e8,-1.1169932053790717,-10.89542026047407
1.0e8,-1.1369932053790712,-10.099023200220607
1.0e8,-1.1569932053790708,-9.441899347258511
1.0e8,-1.1769932053790713,-8.97047105019911
1.0e8,-1.1969932053790715,-8.650422981383459
1.0e8,-1.183006794620929,-8.23449381363252
1.0e8,-1.1630067946209295,-7.898523233325536
1.0e8,-1.143006794620929,-7.555928159322956
1.0e8,-1.1230067946209288,-7.1300665214166985
1.0e8,-1.1030067946209292,-6.572229993930282
1.0e8,-1.0830067946209296,-5.861560670205342
1.0e8,-1.0630067946209294,-5.016725546113525
1.0e8,-1.0430067946209292,-4.0965193552872075
1.0e8,-1.0230067946209296,-3.1823428694805536
1.0e8,-1.00300679462093,-2.350991157218759
1.0e8,-0.9830067946209297,-1.6532923453999466
1.0e8,-0.9630067946209294,-1.1077055255598862
1.0e8,-0.9430067946209297,-0.7067600468164302
1.0e8,-0.9230067946209302,-0.4284159250805041
1.0e8,-0.9030067946209299,-0.2458137634713179
1.0e8,-0.8830067946209297,-0.13308968296394194
